X,Y,Index_,event_unique_id,occurrence_year,Division,homicide_type,occurrence_date,Hood_ID,Neighbourhood,Lat,Long,ObjectId
-8855362.2215133,5426935.78833976,42,642839,2004,D31,Stabbing,2004/08/31 04:00:00+00,22,Humbermede (22),43.7506523,-79.5490723,42
-8856738.93191984,5419232.05080508,43,642110,2004,D23,Shooting,2004/09/05 04:00:00+00,6,Kingsview Village-The Westway (6),43.7006416,-79.5614395,43
-8862620.34136862,5424091.5358701,44,650681,2004,D23,Shooting,2004/09/21 04:00:00+00,1,West Humber-Clairville (1),43.732193,-79.6142731,44
-8849053.61238666,5426115.74910151,45,633558,2004,D11,Other,2004/09/22 04:00:00+00,27,York University Heights (27),43.7453308,-79.4924011,45
-8831784.78675914,5413063.12436185,46,676448,2004,D55,Other,2004/10/08 04:00:00+00,70,South Riverdale (70),43.6605644,-79.3372726,46
-8849960.66586154,5420868.63806837,47,683174,2004,D31,Shooting,2004/10/15 04:00:00+00,28,Rustic (28),43.7112694,-79.5005493,47
-8836383.75114618,5419290.79341262,48,696852,2004,D53,Other,2004/10/27 04:00:00+00,99,Mount Pleasant East (99),43.7010231,-79.3785858,48
-8844400.30182421,5415485.93748608,49,697185,2004,D13,Other,2004/11/12 05:00:00+00,92,Corso Italia-Davenport (92),43.6763077,-79.4505997,49
-8841964.50891422,5414408.5949266,50,734705,2004,D14,Stabbing,2004/12/01 05:00:00+00,93,Dovercourt-Wallace Emerson-Junction (93),43.6693077,-79.4287186,50
-8841964.50891422,5414408.5949266,51,734705,2004,D14,Stabbing,2004/12/01 05:00:00+00,93,Dovercourt-Wallace Emerson-Junction (93),43.6693077,-79.4287186,51
-8813158.78729571,5431711.10872092,52,735933,2004,D42,Other,2004/12/02 05:00:00+00,133,Centennial Scarborough (133),43.7816315,-79.1699524,52
-8830839.51730306,5418509.01612274,53,734029,2004,D54,Stabbing,2004/12/03 05:00:00+00,58,Old East York (58),43.6959457,-79.3287811,53
-8846879.40914808,5411727.25009834,54,643900,2004,D11,Other,2004/10/21 04:00:00+00,88,High Park North (88),43.6518822,-79.4728699,54
-8837094.61515048,5427166.82712153,55,735980,2004,D33,Stabbing,2004/12/11 05:00:00+00,40,St.Andrew-Windfields (40),43.7521515,-79.3849716,55
-8838973.26514101,5412615.26754047,56,730198,2004,D14,Stabbing,2004/12/11 05:00:00+00,79,University (79),43.6576538,-79.4018478,56
-8828821.58436566,5420418.6315731,57,775505,2004,D54,Stabbing,2004/12/12 05:00:00+00,54,O'Connor-Parkview (54),43.7083473,-79.3106537,57
-8836416.02266656,5413079.5581935,58,736004,2004,D51,Shooting,2004/12/19 05:00:00+00,75,Church-Yonge Corridor (75),43.6606712,-79.3788757,58
-8822794.94750919,5423869.38603164,59,811677,2004,D41,Shooting,2004/12/19 05:00:00+00,124,Kennedy Park (124),43.730751,-79.2565155,59
